source,source_id,original_key,building_name,normalized_name,address,district,grade,year_built,building_key,matches_json,midland_id,centanet_id,midland_original_key,centanet_original_key
leasinghub,190,190,100 Queen's Road Central,100 queen s road central,100 Queen's Road Central,Central and Western District,A,2006.0,LH_190,"{""midland"": {""id"": ""B000063697"", ""original_key"": ""B000063697"", ""score"": 90.0, ""building_name"": ""100 Queen's Road Central"", ""address"": ""100 Queen's Road Central"", ""original_record"": {""Building Name"": ""100 Queen's Road Central"", ""Address"": ""100 Queen's Road Central"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000063697/100-Queen-s-Road-Central""}}, ""centanet"": {""id"": ""e37f48de-3c7c-4bd3-8316-b35228c76e10"", ""original_key"": ""e37f48de-3c7c-4bd3-8316-b35228c76e10"", ""score"": 90.0, ""building_name"": ""100 Queen's Road Central"", ""address"": ""100 Queen's Road Central"", ""original_record"": {""queriedDistrict"": ""Central"", ""queriedCode"": ""WS004"", ""propertyID"": ""e37f48de-3c7c-4bd3-8316-b35228c76e10"", ""buildingNameEn"": ""100 Queen's Road Central"", ""address"": ""100 Queen's Road Central"", ""developers"": ""\u5c16\u6771\u5ee3\u5834\u6709\u9650\u516c\u53f8 Toyo Mall Limited"", ""opDateDisplayName"": ""2006 Year"", ""floorDisplayName"": ""31 Floor(s)"", ""districtNameEn"": ""Central"", ""zoneEn"": ""Hong Kong"", ""sellCount"": 0, ""rentCount"": 0, ""transCount"": 4}}}",B000063697,e37f48de-3c7c-4bd3-8316-b35228c76e10,B000063697,e37f48de-3c7c-4bd3-8316-b35228c76e10
leasinghub,1835,1835,1001 King's Road,1001 king s road,1001 King's Road,Eastern District,B+,2019.0,LH_1835,{},,,,
leasinghub,17712,17712,101-111 King's Road,101 111 king s road,101-111 King's Road,Eastern District,,2026.0,LH_17712,{},,,,
leasinghub,2712,2712,102 Austin Road,102 austin road,102 Austin Road,Yau Tsim Mong District,B,1999.0,LH_2712,{},,,,
leasinghub,1668,1668,1063 King's Road,1063 king s road,1063 King's Road,Eastern District,A,1999.0,LH_1668,{},,,,
leasinghub,3607,3607,11 Queen Victoria Street,11 queen victoria street,11 Queen Victoria Street,Central and Western District,C,1972.0,LH_3607,{},,,,
leasinghub,1664,1664,1111 King's Road,1111 king s road,1111 King's Road,Eastern District,A+,1997.0,LH_1664,{},,,,
leasinghub,639,639,118 Connaught Road West,118 connaught road west,118 Connaught Road West,Central and Western District,B,1994.0,LH_639,{},,,,
leasinghub,1939,1939,12 Taikoo Wan Road,12 taikoo wan road,12 Taikoo Wan Road,Eastern District,A+,1991.0,LH_1939,{},,,,
leasinghub,107,107,128 Connaught Road Central,128 connaught road central,128-129 Connaught Road Central,Central and Western District,B,1990.0,LH_107,"{""centanet"": {""id"": ""cd6b6f32-f52f-4b68-876c-e909c3e9c723"", ""original_key"": ""cd6b6f32-f52f-4b68-876c-e909c3e9c723"", ""score"": 88.6, ""building_name"": ""128 Connaught Road Central"", ""address"": ""128 Connaught Road Central"", ""original_record"": {""queriedDistrict"": ""Sheung Wan"", ""queriedCode"": ""WS003"", ""propertyID"": ""cd6b6f32-f52f-4b68-876c-e909c3e9c723"", ""buildingNameEn"": ""128 Connaught Road Central"", ""address"": ""128 Connaught Road Central"", ""developers"": NaN, ""opDateDisplayName"": ""1990 Year"", ""floorDisplayName"": ""26 Floor(s)"", ""districtNameEn"": ""Sheung Wan"", ""zoneEn"": ""Hong Kong"", ""sellCount"": 2, ""rentCount"": 4, ""transCount"": 2}}}",,cd6b6f32-f52f-4b68-876c-e909c3e9c723,,cd6b6f32-f52f-4b68-876c-e909c3e9c723
leasinghub,1242,1242,128 Wellington Street,128 wellington street,128 Wellington Street,Central and Western District,B,1996.0,LH_1242,"{""midland"": {""id"": ""B000060541"", ""original_key"": ""B000060541"", ""score"": 90.0, ""building_name"": ""128 Wellington Street"", ""address"": ""128 Wellington Street"", ""original_record"": {""Building Name"": ""128 Wellington Street"", ""Address"": ""128 Wellington Street"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000060541/128-Wellington-Street""}}}",B000060541,,B000060541,
leasinghub,17311,17311,12W - Science Park,12w science park,12 Science Park West Avenue,Tai Po District,A,,LH_17311,{},,,,
leasinghub,17583,17583,13 Hok Yuen Street Tower 1,13 hok yuen street tower 1,13 Hok Yuen Street,Kowloon City District,A,2025.0,LH_17583,{},,,,
leasinghub,17584,17584,13 Hok Yuen Street Tower 2,13 hok yuen street tower 2,13 Hok Yuen Street,Kowloon City District,A,2025.0,LH_17584,{},,,,
leasinghub,13659,13659,135 Bonham Strand Trade Centre,135 bonham strand trade center,135 Bonham Strand,Central and Western District,B+,2000.0,LH_13659,{},,,,
leasinghub,1938,1938,14 Taikoo Wan Road,14 taikoo wan road,14 Taikoo Wan Road,Eastern District,A+,1992.0,LH_1938,{},,,,
leasinghub,17642,17642,14 Wang Tai Road,14 wang tai road,14 Wang Tai Road,Kwun Tong District,A,,LH_17642,{},,,,
leasinghub,2772,2772,148 Electric Road,148 electric road,148 Electric Road,Eastern District,B,2000.0,LH_2772,"{""midland"": {""id"": ""B000041931"", ""original_key"": ""B000041931"", ""score"": 90.0, ""building_name"": ""148 Electric Road"", ""address"": ""148 Electric Road"", ""original_record"": {""Building Name"": ""148 Electric Road"", ""Address"": ""148 Electric Road"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000041931/148-Electric-Road""}}}",B000041931,,B000041931,
leasinghub,3635,3635,15-19 Hollywood Road,15 19 hollywood road,15-19 Hollywood Road,Central and Western District,,,LH_3635,{},,,,
leasinghub,17312,17312,15W - Science Park,15w science park,15 Science Park West Avenue,Tai Po District,A,,LH_17312,{},,,,
leasinghub,6646,6646,16 Hart Avenue,16 hart avenue,16 Hart Avenue,Yau Tsim Mong District,B,2014.0,LH_6646,{},,,,
leasinghub,1343,1343,163 Hennessy Road,163 hennessy road,163 Hennessy Road,Wanchai District,B,1981.0,LH_1343,{},,,,
leasinghub,5358,5358,163 Hoi Bun Road,163 hoi bun road,163 Hoi Bun Road,Kwun Tong District,B,1991.0,LH_5358,{},,,,
leasinghub,17715,17715,163 QRE,163 qre,153-167 Queen's Road East,Wanchai District,B+,2023.0,LH_17715,{},,,,
leasinghub,2784,2784,168 Electric Road,168 electric road,168 Electric Road,Eastern District,B,1996.0,LH_2784,{},,,,
leasinghub,195,195,168 Queen's Road Central,168 queen s road central,168 Queen's Road Central,Central and Western District,B,2002.0,LH_195,{},,,,
leasinghub,7273,7273,168 Sai Yeung Choi Street South,168 sai yeung choi street south,168 Sai Yeung Choi Street South,Yau Tsim Mong District,B,1995.0,LH_7273,{},,,,
leasinghub,17313,17313,16W - Science Park,16w science park,16 Science Park West Avenue,Tai Po District,A,,LH_17313,{},,,,
leasinghub,4669,4669,17-19 Ashley Road,17 19 ashley road,17-19 Ashley Road,Yau Tsim Mong District,B,2013.0,LH_4669,{},,,,
leasinghub,17314,17314,17W - Science Park,17w science park,17 Science Park West Avenue,Tai Po District,A,,LH_17314,{},,,,
leasinghub,8177,8177,18 On Lan Street,18 on lan street,18 On Lan Street,Central and Western District,A,2013.0,LH_8177,{},,,,
leasinghub,17653,17653,181 Queen's Road Central,181 queen s road central,181-183 Queen's Road Central,Central and Western District,A,1998.0,LH_17653,"{""midland"": {""id"": ""B000063699"", ""original_key"": ""B000063699"", ""score"": 87.2, ""building_name"": ""181 Queen's Road Central"", ""address"": ""181 Queen's Road Central H.k."", ""original_record"": {""Building Name"": ""181 Queen's Road Central"", ""Address"": ""181 Queen's Road Central H.k."", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000063699/181-Queen-s-Road-Central""}}, ""centanet"": {""id"": ""14147db7-cdb3-4f9c-8064-e0e1de89df7e"", ""original_key"": ""14147db7-cdb3-4f9c-8064-e0e1de89df7e"", ""score"": 88.4, ""building_name"": ""181 Queen's Road Central"", ""address"": ""181 Queen's Road Central"", ""original_record"": {""queriedDistrict"": ""Sheung Wan"", ""queriedCode"": ""WS003"", ""propertyID"": ""14147db7-cdb3-4f9c-8064-e0e1de89df7e"", ""buildingNameEn"": ""181 Queen's Road Central"", ""address"": ""181 Queen's Road Central"", ""developers"": ""New World Development Company Limited, Urban Renewal Authority"", ""opDateDisplayName"": ""1998 Year"", ""floorDisplayName"": ""30 Floor(s)"", ""districtNameEn"": ""Sheung Wan"", ""zoneEn"": ""Hong Kong"", ""sellCount"": 3, ""rentCount"": 11, ""transCount"": 9}}}",B000063699,14147db7-cdb3-4f9c-8064-e0e1de89df7e,B000063699,14147db7-cdb3-4f9c-8064-e0e1de89df7e
leasinghub,17316,17316,19W - Science Park,19w science park,19 Science Park West Avenue,Tai Po District,A,,LH_17316,{},,,,
leasinghub,5705,5705,2 Carnarvon Road,2 carnarvon road,2-2A Carnarvon Road,Yau Tsim Mong District,C,1989.0,LH_5705,{},,,,
leasinghub,3606,3606,2 Queen Victoria Street,2 queen victoria street,2 Queen Victoria Street,Central and Western District,C,1967.0,LH_3606,{},,,,
leasinghub,17722,17722,2-4 Cameron Road,2 4 cameron road,2-4 Cameron Road,Yau Tsim Mong District,,,LH_17722,{},,,,
leasinghub,17721,17721,20 Des Voeux Road Central,20 des voeux road central,20 Des Voeux Road Central,Central and Western District,A,2025.0,LH_17721,{},,,,
leasinghub,6225,6225,20-28 Cannon Street,20 28 cannon street,20-28 Cannon Street,Wanchai District,,,LH_6225,{},,,,
leasinghub,839,839,202 Centre,202 center,202-204 Des Voeux Road West,Central and Western District,C,1999.0,LH_839,{},,,,
leasinghub,1609,1609,208 Johnston Road,208 johnston road,208 Johnston Road,Wanchai District,B+,2020.0,LH_1609,"{""midland"": {""id"": ""B000094314"", ""original_key"": ""B000094314"", ""score"": 88.4, ""building_name"": ""No. 208 Johnston Road"", ""address"": ""No. 208 Johnston Road"", ""original_record"": {""Building Name"": ""No. 208 Johnston Road"", ""Address"": ""No. 208 Johnston Road"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000094314/No.-208-Johnston-Road""}}}",B000094314,,B000094314,
leasinghub,17317,17317,20E - Science Park,20e science park,20 Science Park East Avenue,Tai Po District,A,,LH_17317,{},,,,
leasinghub,17604,17604,21 Ashley,21 ashley,21-27 Ashley Road,Yau Tsim Mong District,A,2023.0,LH_17604,{},,,,
leasinghub,17549,17549,212-232 Des Voeux Road Central,212 232 des voeux road central,212-232 Des Voeux Road Central,Central and Western District,A,2025.0,LH_17549,{},,,,
leasinghub,1617,1617,22 Yee Wo Street,22 yee wo street,22 Yee Wo Street,Wanchai District,B,1993.0,LH_1617,{},,,,
leasinghub,17520,17520,228 Electric Road,228 electric road,228 Electric Road,Eastern District,A,2023.0,LH_17520,"{""midland"": {""id"": ""B000112287"", ""original_key"": ""B000112287"", ""score"": 88.4, ""building_name"": ""No. 228 Electric Road"", ""address"": ""No. 228 Electric Road"", ""original_record"": {""Building Name"": ""No. 228 Electric Road"", ""Address"": ""No. 228 Electric Road"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000112287/No.-228-Electric-Road""}}}",B000112287,,B000112287,
leasinghub,3218,3218,23 Hillwood Road,23 hillwood road,23 Hillwood Road,Yau Tsim Mong District,B,1997.0,LH_3218,{},,,,
leasinghub,2537,2537,235 Wing Lok Street Trade Centre,235 wing lok street trade center,235 Wing Lok Street,Central and Western District,B+,2000.0,LH_2537,{},,,,
leasinghub,85,85,238 Des Voeux Road Central,238 des voeux road central,238 Des Voeux Road Central,Central and Western District,B+,2016.0,LH_85,{},,,,
leasinghub,2971,2971,238 Nathan Road,238 nathan road,238 Nathan Road,Yau Tsim Mong District,B,1999.0,LH_2971,"{""centanet"": {""id"": ""4219015c-e0fc-4fe2-a53a-afbb8b0d43fa"", ""original_key"": ""4219015c-e0fc-4fe2-a53a-afbb8b0d43fa"", ""score"": 90.0, ""building_name"": ""238 Nathan Road"", ""address"": ""238 Nathan Road"", ""original_record"": {""queriedDistrict"": ""Jordan"", ""queriedCode"": ""WS022"", ""propertyID"": ""4219015c-e0fc-4fe2-a53a-afbb8b0d43fa"", ""buildingNameEn"": ""238 Nathan Road"", ""address"": ""238 Nathan Road"", ""developers"": ""UPCENTRE INVESTMENTS LIMITED"", ""opDateDisplayName"": ""1999 Year"", ""floorDisplayName"": ""22 Floor(s)"", ""districtNameEn"": ""Jordan"", ""zoneEn"": ""Kowloon"", ""sellCount"": 0, ""rentCount"": 4, ""transCount"": 6}}}",,4219015c-e0fc-4fe2-a53a-afbb8b0d43fa,,4219015c-e0fc-4fe2-a53a-afbb8b0d43fa
leasinghub,1344,1344,239 Hennessy Road,239 hennessy road,235-239 Hennessy Road,Wanchai District,B+,2012.0,LH_1344,{},,,,
leasinghub,1401,1401,250 Hennessy,250 hennessy,250 Hennessy Road,Wanchai District,B+,1999.0,LH_1401,{},,,,
leasinghub,2963,2963,26 Nathan Road,26 nathan road,26 Nathan Road,Yau Tsim Mong District,A,1998.0,LH_2963,"{""midland"": {""id"": ""B000022389"", ""original_key"": ""B000022389"", ""score"": 90.0, ""building_name"": ""26 Nathan Road"", ""address"": ""26 Nathan Road"", ""original_record"": {""Building Name"": ""26 Nathan Road"", ""Address"": ""26 Nathan Road"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000022389/26-Nathan-Road""}}}",B000022389,,B000022389,
leasinghub,2735,2735,28 Austin Avenue,28 austin avenue,28 Austin Avenue,Yau Tsim Mong District,B,,LH_2735,{},,,,
leasinghub,17433,17433,28 Stanley,28 stanley,28-32 Stanley Street,Central and Western District,B+,2021.0,LH_17433,{},,,,
leasinghub,5409,5409,280 Portland Street Commercial Building,280 portland street commercial building,280 Portland Street,Yau Tsim Mong District,C,1993.0,LH_5409,{},,,,
leasinghub,2716,2716,29 Austin Road,29 austin road,29 Austin Road,Yau Tsim Mong District,B,1991.0,LH_2716,{},,,,
leasinghub,156,156,299QRC,299qrc,287-299 Queen's Road Central,Central and Western District,B+,1982.0,LH_156,"{""centanet"": {""id"": ""c212b1fc-aa78-427e-931c-bf766a88de9d"", ""original_key"": ""c212b1fc-aa78-427e-931c-bf766a88de9d"", ""score"": 85.19999999999999, ""building_name"": ""299 QRC"", ""address"": ""287-299 Queen's Road Central"", ""original_record"": {""queriedDistrict"": ""Sheung Wan"", ""queriedCode"": ""WS003"", ""propertyID"": ""c212b1fc-aa78-427e-931c-bf766a88de9d"", ""buildingNameEn"": ""299 QRC"", ""address"": ""287-299 Queen's Road Central"", ""developers"": ""WINCOME GROUP OF COMPANIES"", ""opDateDisplayName"": ""1982 Year"", ""floorDisplayName"": ""25 Floor(s)"", ""districtNameEn"": ""Sheung Wan"", ""zoneEn"": ""Hong Kong"", ""sellCount"": 0, ""rentCount"": 9, ""transCount"": 13}}}",,c212b1fc-aa78-427e-931c-bf766a88de9d,,c212b1fc-aa78-427e-931c-bf766a88de9d
leasinghub,966,966,3 Lockhart Road,3 lockhart road,3 Lockhart Road,Wanchai District,B+,1995.0,LH_966,"{""midland"": {""id"": ""B000054199"", ""original_key"": ""B000054199"", ""score"": 90.0, ""building_name"": ""3 Lockhart Road"", ""address"": ""3 Lockhart Road"", ""original_record"": {""Building Name"": ""3 Lockhart Road"", ""Address"": ""3 Lockhart Road"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000054199/3-Lockhart-Road""}}}",B000054199,,B000054199,
leasinghub,4833,4833,3 Yuk Yat Street,3 yuk yat street,3 Yuk Yat Street,Kowloon City District,,1971.0,LH_4833,"{""centanet"": {""id"": ""9110fa68-a612-431d-a0b3-2c0f60e5bc47"", ""original_key"": ""9110fa68-a612-431d-a0b3-2c0f60e5bc47"", ""score"": 90.0, ""building_name"": ""3 Yuk Yat Street"", ""address"": ""3 Yuk Yat Street"", ""original_record"": {""queriedDistrict"": ""To Kwa Wan"", ""queriedCode"": ""WS026"", ""propertyID"": ""9110fa68-a612-431d-a0b3-2c0f60e5bc47"", ""buildingNameEn"": ""3 Yuk Yat Street"", ""address"": ""3 Yuk Yat Street"", ""developers"": NaN, ""opDateDisplayName"": ""1971 Year"", ""floorDisplayName"": ""11 Floor(s)"", ""districtNameEn"": ""To Kwa Wan"", ""zoneEn"": ""Kowloon"", ""sellCount"": 0, ""rentCount"": 1, ""transCount"": 0}}}",,9110fa68-a612-431d-a0b3-2c0f60e5bc47,,9110fa68-a612-431d-a0b3-2c0f60e5bc47
leasinghub,3676,3676,30 Hollywood Road,30 hollywood road,30 Hollywood Road,Central and Western District,B,1983.0,LH_3676,{},,,,
leasinghub,26,26,308 Central Des Voeux,308 central des voeux,308-320 Des Voeux Road Central,Central and Western District,A,1994.0,LH_26,"{""centanet"": {""id"": ""f4e0fe6d-07d8-49da-a242-d51fa81524e2"", ""original_key"": ""f4e0fe6d-07d8-49da-a242-d51fa81524e2"", ""score"": 88.6, ""building_name"": ""308 Central Des Voeux"", ""address"": ""308 Des Voeux Road Central"", ""original_record"": {""queriedDistrict"": ""Sheung Wan"", ""queriedCode"": ""WS003"", ""propertyID"": ""f4e0fe6d-07d8-49da-a242-d51fa81524e2"", ""buildingNameEn"": ""308 Central Des Voeux"", ""address"": ""308 Des Voeux Road Central"", ""developers"": ""Capital Way Investment Limited"", ""opDateDisplayName"": ""1994 Year"", ""floorDisplayName"": ""29 Floor(s)"", ""districtNameEn"": ""Sheung Wan"", ""zoneEn"": ""Hong Kong"", ""sellCount"": 0, ""rentCount"": 12, ""transCount"": 15}}}",,f4e0fe6d-07d8-49da-a242-d51fa81524e2,,f4e0fe6d-07d8-49da-a242-d51fa81524e2
leasinghub,3437,3437,31-37 Hankow Road,31 37 hankow road,31-37 Hankow Road,Yau Tsim Mong District,,1955.0,LH_3437,{},,,,
leasinghub,1026,1026,313 Lockhart Road,313 lockhart road,313 Lockhart Road,Wanchai District,C,1993.0,LH_1026,"{""midland"": {""id"": ""B000053973"", ""original_key"": ""B000053973"", ""score"": 90.0, ""building_name"": ""313 Lockhart Road"", ""address"": ""313 Lockhart Road"", ""original_record"": {""Building Name"": ""313 Lockhart Road"", ""Address"": ""313 Lockhart Road"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000053973/313-Lockhart-Road""}}}",B000053973,,B000053973,
leasinghub,1993,1993,31C-D Wyndham Street,31c d wyndham street,31C-D Wyndham Street,Central and Western District,C,1969.0,LH_1993,{},,,,
leasinghub,1902,1902,321 Java Road,321 java road,321 Java Road,Eastern District,A,1985.0,LH_1902,{},,,,
leasinghub,84,84,33 Des Voeux Road Central,33 des voeux road central,31-37 Des Voeux Road Central,Central and Western District,B+,2013.0,LH_84,"{""midland"": {""id"": ""B000007683"", ""original_key"": ""B000007683"", ""score"": 78.8, ""building_name"": ""33 Des Voeux Road Central"", ""address"": ""33 Des Voeux Road Central"", ""original_record"": {""Building Name"": ""33 Des Voeux Road Central"", ""Address"": ""33 Des Voeux Road Central"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000007683/33-Des-Voeux-Road-Central""}}}",B000007683,,B000007683,
leasinghub,838,838,33 Des Voeux Road West,33 des voeux road west,33-45 Des Voeux Road West,Central and Western District,B+,2017.0,LH_838,{},,,,
leasinghub,653,653,33 Wyndham Street,33 wyndham street,33 Wyndham Street,Central and Western District,B+,2004.0,LH_653,{},,,,
leasinghub,17495,17495,333 Hennessy,333 hennessy,333-335 Hennessy Road,Wanchai District,B+,2022.0,LH_17495,"{""midland"": {""id"": ""B000095756"", ""original_key"": ""B000095756"", ""score"": 86.6, ""building_name"": ""333 Hennessy"", ""address"": ""No. 333 Hennessy Road"", ""original_record"": {""Building Name"": ""333 Hennessy"", ""Address"": ""No. 333 Hennessy Road"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000095756/333-Hennessy""}}}",B000095756,,B000095756,
leasinghub,230,230,35 QRC,35 qrc,35 Queen's Road Central,Central and Western District,B+,2020.0,LH_230,{},,,,
leasinghub,17713,17713,35-37 Cameron Road,35 37 cameron road,35-37 Cameron Road,Yau Tsim Mong District,A,,LH_17713,{},,,,
leasinghub,854,854,36 Jardine's Bazaar,36 jardine s bazaar,36 Jardine's Bazaar,Wanchai District,B,2014.0,LH_854,{},,,,
leasinghub,17762,17762,369 Hennessy Road,369 hennessy road,369-371 Hennessy Road,Wanchai District,A,2023.0,LH_17762,{},,,,
leasinghub,15051,15051,38 Plaza,38 plaza,38 Shantung Street,Yau Tsim Mong District,B,1998.0,LH_15051,"{""centanet"": {""id"": ""5b0710db-1f97-40ae-9002-34cd4623cae0"", ""original_key"": ""5b0710db-1f97-40ae-9002-34cd4623cae0"", ""score"": 90.0, ""building_name"": ""38 Plaza"", ""address"": ""38 Shantung Street"", ""original_record"": {""queriedDistrict"": ""Mongkok"", ""queriedCode"": ""WS020"", ""propertyID"": ""5b0710db-1f97-40ae-9002-34cd4623cae0"", ""buildingNameEn"": ""38 Plaza"", ""address"": ""38 Shantung Street"", ""developers"": NaN, ""opDateDisplayName"": ""1998 Year"", ""floorDisplayName"": ""18 Floor(s)"", ""districtNameEn"": ""Mongkok"", ""zoneEn"": ""Kowloon"", ""sellCount"": 0, ""rentCount"": 0, ""transCount"": 1}}}",,5b0710db-1f97-40ae-9002-34cd4623cae0,,5b0710db-1f97-40ae-9002-34cd4623cae0
leasinghub,982,982,382 Lockhart Road,382 lockhart road,376-382 Lockhart Road,Wanchai District,B,1995.0,LH_982,{},,,,
leasinghub,1793,1793,383 King's Road,383 king s road,383-385 King's Road,Eastern District,B,2023.0,LH_1793,"{""midland"": {""id"": ""B000113140"", ""original_key"": ""B000113140"", ""score"": 90.0, ""building_name"": ""383-385 King's Road"", ""address"": ""383-385 King's Road"", ""original_record"": {""Building Name"": ""383-385 King's Road"", ""Address"": ""383-385 King's Road"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000113140/383-385-King-s-Road""}}}",B000113140,,B000113140,
leasinghub,17298,17298,39 King's Road,39 king s road,39 King's Road,Wanchai District,B+,2022.0,LH_17298,"{""midland"": {""id"": ""B000113453"", ""original_key"": ""B000113453"", ""score"": 90.0, ""building_name"": ""39 King's Road"", ""address"": ""39 King's Road"", ""original_record"": {""Building Name"": ""39 King's Road"", ""Address"": ""39 King's Road"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000113453/39-King-s-Road""}}}",B000113453,,B000113453,
leasinghub,17973,17973,39 Sha Tsui Road,39 sha tsui road,39 Sha Tsui Road,Tsuen Wan District,A,2024.0,LH_17973,"{""midland"": {""id"": ""B000119995"", ""original_key"": ""B000119995"", ""score"": 90.0, ""building_name"": ""39 Sha Tsui Road"", ""address"": ""39 Sha Tsui Road"", ""original_record"": {""Building Name"": ""39 Sha Tsui Road"", ""Address"": ""39 Sha Tsui Road"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000119995/39-Sha-Tsui-Road""}}}",B000119995,,B000119995,
leasinghub,14690,14690,4 Mong Kok Road,4 mong kok road,4-4A Mong Kok Road,Yau Tsim Mong District,A,2025.0,LH_14690,{},,,,
leasinghub,9227,9227,4-6 On Wo Lane,4 6 on wo lane,4-6 On Wo Lane,Central and Western District,C,1977.0,LH_9227,{},,,,
leasinghub,2034,2034,40 Stanley Street,40 stanley street,40 Stanley Street,Central and Western District,C,,LH_2034,{},,,,
leasinghub,11521,11521,41 Heung Yip Road,41 heung yip road,41 Heung Yip Road,Southern District,A,2016.0,LH_11521,"{""midland"": {""id"": ""B000087080"", ""original_key"": ""B000087080"", ""score"": 90.0, ""building_name"": ""41 Heung Yip Road"", ""address"": ""41 Heung Yip Road"", ""original_record"": {""Building Name"": ""41 Heung Yip Road"", ""Address"": ""41 Heung Yip Road"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000087080/41-Heung-Yip-Road""}}, ""centanet"": {""id"": ""8819d14a-161a-4f83-a9cd-97e6aab2e0ce"", ""original_key"": ""8819d14a-161a-4f83-a9cd-97e6aab2e0ce"", ""score"": 100.0, ""building_name"": ""41 Heung Yip Road"", ""address"": ""41 Heung Yip Road"", ""original_record"": {""queriedDistrict"": ""Southern District"", ""queriedCode"": ""WS002"", ""propertyID"": ""8819d14a-161a-4f83-a9cd-97e6aab2e0ce"", ""buildingNameEn"": ""41 Heung Yip Road"", ""address"": ""41 Heung Yip Road"", ""developers"": ""Cheung Kong Development Limited"", ""opDateDisplayName"": ""2015 Year"", ""floorDisplayName"": ""37 Floor(s)"", ""districtNameEn"": ""Southern District"", ""zoneEn"": ""Hong Kong"", ""sellCount"": 0, ""rentCount"": 11, ""transCount"": 10}}}",B000087080,8819d14a-161a-4f83-a9cd-97e6aab2e0ce,B000087080,8819d14a-161a-4f83-a9cd-97e6aab2e0ce
leasinghub,3423,3423,43-49A Hankow Road,43 49a hankow road,43-49A Hankow Road,Yau Tsim Mong District,,,LH_3423,{},,,,
leasinghub,3731,3731,46 Lyndhurst Terrace,46 lyndhurst terrace,46 Lyndhurst Terrace,Central and Western District,B+,1994.0,LH_3731,{},,,,
leasinghub,17748,17748,49-51 Kimberley Road,49 51 kimberley road,49-51 Kimberley Road,Yau Tsim Mong District,B+,,LH_17748,{},,,,
