Name,Address,Blocks,Units,Unit Rate,MoM,Trans Record,For Sale,For Rent,Estate Link,Region,District,Subdistrict,Code,Scraped Estate Name,Occupation Permit,Scraped Blocks,Scraped Units,School Net Info,Estate Detailed Address,Developer
Ching Lin Court,4-6 Ching Lin Terrace,1,36,--,--,--,3,--,https://hk.centanet.com/estate/en/Ching-Lin-Court/2-SSGDWPAXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
May Sun Building,55-57 Catchick Street,1,131,--,--,--,3,--,https://hk.centanet.com/estate/en/May-Sun-Building/2-SSPPGPYYPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Westview Height,163 Belcher's Street,1,66,--,--,--,3,--,https://hk.centanet.com/estate/en/Westview-Height/2-SSPPWWPAWG,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Ivy On Belcher's,26 Belcher's Stret,1,140,--,--,--,3,--,https://hk.centanet.com/estate/en/Ivy-On-Belcher-s/2-SSPPWWPEWG,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Hang (Han) Yu Building,45-55 Cadogan Street,1,136,--,--,--,3,--,https://hk.centanet.com/estate/en/Hang-Han-Yu-Building/2-SSYWBPESPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Regent Height,80 Victoria Road,1,63,--,--,--,3,--,https://hk.centanet.com/estate/en/Regent-Height/2-TTHLIHLXHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Huncliff Court,70 Victoria Road,1,38,--,--,--,3,--,https://hk.centanet.com/estate/en/Huncliff-Court/2-TTISIHLYHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Full Harvest Building,6-18 Hau Wo Street,1,96,--,--,--,2,1,https://hk.centanet.com/estate/en/Full-Harvest-Building/2-OORQURVXRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Hee Wong Terrace,1 Hee Wong Terrace,12,188,--,--,--,2,1,https://hk.centanet.com/estate/en/Hee-Wong-Terrace/2-SSPKBPBXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Mount Davis,33 Ka Wai Man Road,1,89,"$19,797/ ft²",1.21%,1,2,1,https://hk.centanet.com/estate/en/Mount-Davis/2-SSPPWWPRWS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Greenview Court,7-8 Ching Lin Terrace,1,31,--,--,--,1,1,https://hk.centanet.com/estate/en/Greenview-Court/2-SSPYWPAOPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Ka Fu Building,63 Catchick Street,2,92,--,--,--,2,1,https://hk.centanet.com/estate/en/Ka-Fu-Building/2-TTXMTHDXHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
On Fat Building,10 Kwan Yick Street,1,189,--,--,--,2,--,https://hk.centanet.com/estate/en/On-Fat-Building/2-OODJQRDYRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Tung Hing Mansion,41-55 Belcher's Street,1,96,--,--,--,2,--,https://hk.centanet.com/estate/en/Tung-Hing-Mansion/2-OOVFFRRSRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Markfield Building,8 Smithfield,1,150,--,--,--,2,--,https://hk.centanet.com/estate/en/Markfield-Building/2-SSEDWPYXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Brilliant Court,"28 Praya, Kennedy Town",1,145,--,--,--,2,--,https://hk.centanet.com/estate/en/Brilliant-Court/2-SSKWBPDAPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Sun Court,3-3A Belcher's Street,1,92,--,--,--,2,--,https://hk.centanet.com/estate/en/Sun-Court/2-SSPEPPPEPG,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Po Wah House,36-40 Li Po Lung Path,1,20,"$10,101/ ft²",25.88%,1,1,--,https://hk.centanet.com/estate/en/Po-Wah-House/2-SSSSGPGAPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Ka On Building,"27 New Praya, Kennedy Town",2,96,--,--,--,2,--,https://hk.centanet.com/estate/en/Ka-On-Building/2-SSWSWPGHPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Luen Gay Apartments,124-134 Belcher's Street,1,268,--,--,--,2,--,https://hk.centanet.com/estate/en/Luen-Gay-Apartments/2-TTHLTHMHHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Tai Sang Building,1A Sands Street,1,79,--,--,--,2,--,https://hk.centanet.com/estate/en/Tai-Sang-Building/2-TTMNTHSAHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Wai Wah Court,12R Smithfield,1,112,--,--,--,2,--,https://hk.centanet.com/estate/en/Wai-Wah-Court/2-TTXDTHLYHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Nan Sang Building,86 Belcher's Street,1,54,--,--,--,1,--,https://hk.centanet.com/estate/en/Nan-Sang-Building/2-TTXXTHMVHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Tai Hong Building,1D Holland Street,1,92,--,--,--,1,2,https://hk.centanet.com/estate/en/Tai-Hong-Building/2-SSAEPPGEPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Sai Wan New Apartments,177-185 Belcher's Street,1,109,--,--,--,1,2,https://hk.centanet.com/estate/en/Sai-Wan-New-Apartments/2-TTDLZHTYHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
32-34 Li Po Lung Path,32-34 Li Po Lung Path,1,19,--,--,--,--,--,https://hk.centanet.com/estate/en/32-34-Li-Po-Lung-Path/2-SSAPGPGHPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Shun Fai Building,19 Hau Wo Street,1,71,--,--,--,1,1,https://hk.centanet.com/estate/en/Shun-Fai-Building/2-SSDEPPBXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Hing Wong Building,"23 New Praya, Kennedy Town",1,116,--,--,--,1,1,https://hk.centanet.com/estate/en/Hing-Wong-Building/2-SSYSWPGXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Tse Land Mansion,39-43 Sands Street,1,38,--,--,--,1,1,https://hk.centanet.com/estate/en/Tse-Land-Mansion/2-TTISZHSJHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Luen On Apartments,51 Smithfield,1,160,--,--,--,1,1,https://hk.centanet.com/estate/en/Luen-On-Apartments/2-TTNIIHSRHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Fook On Mansion,23-25 North Street,1,92,--,--,--,1,--,https://hk.centanet.com/estate/en/Fook-On-Mansion/2-OORFURJXRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
10 Tai Pak Terrace,10 Tai Pak Terrace,1,12,--,--,--,--,--,https://hk.centanet.com/estate/en/10-Tai-Pak-Terrace/2-OORQQRCSRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Yue On Building,78-86 Catchick Street,1,40,--,--,--,1,--,https://hk.centanet.com/estate/en/Yue-On-Building/2-OORRFRQVRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Kam Tong Mansion (Building),139-153 Belcher's Street,1,29,"$12,579/ ft²",--,1,1,--,https://hk.centanet.com/estate/en/Kam-Tong-Mansion-Building/2-OOUFQROSRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Kam Hing Building,27-31 Catchick Street,1,42,--,--,--,1,--,https://hk.centanet.com/estate/en/Kam-Hing-Building/2-SSBKWPESPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
1-3 Ching Lin Terrace,1-3 Ching Lin Terrace,1,46,--,--,--,1,--,https://hk.centanet.com/estate/en/1-3-Ching-Lin-Terrace/2-SSDEWPAVPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Jade Lotus Garden,11 Ching Lin Terrace,1,46,--,--,--,1,--,https://hk.centanet.com/estate/en/Jade-Lotus-Garden/2-SSDPPPKXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Sands House,10-18 Sands Street,1,44,--,--,--,1,--,https://hk.centanet.com/estate/en/Sands-House/2-SSDSBPYEPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Hau Wo Court,25-33 Hau Wo Street,1,41,--,--,--,1,--,https://hk.centanet.com/estate/en/Hau-Wo-Court/2-SSEBPPBEPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Nan Hai Mansion,"46-47 Praya, Kennedy Town",1,172,--,--,--,1,--,https://hk.centanet.com/estate/en/Nan-Hai-Mansion/2-SSGYGPDHPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Leader House,57-61 Belcher's Street,1,38,--,--,--,1,--,https://hk.centanet.com/estate/en/Leader-House/2-SSGYWPPVPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Ka Ming Building,56A-56B Belcher's Street,1,31,--,--,--,1,--,https://hk.centanet.com/estate/en/Ka-Ming-Building/2-SSKKPPEYPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
La Maison Du Nord,12A North Street,1,75,--,--,--,1,--,https://hk.centanet.com/estate/en/La-Maison-Du-Nord/2-SSPPWPPJPG,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Shun Hing Building,22-34 Catchick Street,1,88,--,--,--,1,--,https://hk.centanet.com/estate/en/Shun-Hing-Building/2-SSWPBPAHPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Shun On Building,2 Sands Street,1,72,--,--,--,1,--,https://hk.centanet.com/estate/en/Shun-On-Building/2-SSWPBPYRPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Grand Fortune Mansion,1-1A Davis Street,1,92,--,--,--,1,--,https://hk.centanet.com/estate/en/Grand-Fortune-Mansion/2-SSYBPPKJPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Chester Court,"6-8 Praya, Kennedy Town",1,138,--,--,--,1,--,https://hk.centanet.com/estate/en/Chester-Court/2-TTIHZHDXHX,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Wah Po Building,"1 New Praya, Kennedy Town",1,189,--,--,--,1,--,https://hk.centanet.com/estate/en/Wah-Po-Building/2-TTISIHXVHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Hoi Lee Building,29-31 Sands Street,1,16,--,--,--,--,--,https://hk.centanet.com/estate/en/Hoi-Lee-Building/2-TTLZZHSXHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
99-101 Belcher's Street,99-101 Belcher's Street,1,14,--,--,--,--,--,https://hk.centanet.com/estate/en/99-101-Belcher-s-Street/2-TTMMTHTVHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Luen Hing Apartments,47 Smithfield,1,150,--,--,--,1,--,https://hk.centanet.com/estate/en/Luen-Hing-Apartments/2-TTNNIHSXHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Kennedy Mansion,165-175 Belcher's Street,1,80,--,--,--,1,--,https://hk.centanet.com/estate/en/Kennedy-Mansion/2-TTTDZHTVHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Sun Fat Building,12S-12T Smithfield,1,28,--,--,--,--,--,https://hk.centanet.com/estate/en/Sun-Fat-Building/2-TTXZTHLAHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Luen Yau Apartments,102-114 Belcher's Street,1,176,--,--,--,1,--,https://hk.centanet.com/estate/en/Luen-Yau-Apartments/2-TTZSTHMSHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
The Highline,33 Catchick Street,1,173,--,--,--,--,4,https://hk.centanet.com/estate/en/The-Highline/2-SSSPWWPSWS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Kam Ho Court,144-148 Belcher's Street,1,66,--,--,--,--,1,https://hk.centanet.com/estate/en/Kam-Ho-Court/2-OOCUURUORO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Lungga Mansion,46A Belcher's Street,1,83,--,--,--,--,1,https://hk.centanet.com/estate/en/Lungga-Mansion/2-SSDDWPSRPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Chin Hom Court,26 Li Po Lung Path,1,24,--,--,--,--,--,https://hk.centanet.com/estate/en/Chin-Hom-Court/2-SSEYBPGHPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Sum Way Mansion,1-1F Belcher's Street,1,152,--,--,--,--,2,https://hk.centanet.com/estate/en/Sum-Way-Mansion/2-SSYSPPPYPG,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
1F Sands Street,1F Sands Street,1,7,--,--,--,--,--,https://hk.centanet.com/estate/en/1F-Sands-Street/2-OOCOURFARO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
1E Sands Street,1E Sands Street,1,7,--,--,--,--,--,https://hk.centanet.com/estate/en/1E-Sands-Street/2-OOCRURFERO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
12-15 Tai Pak Terrace,12-15 Tai Pak Terrace,1,22,--,--,--,--,--,https://hk.centanet.com/estate/en/12-15-Tai-Pak-Terrace/2-OOCSQRCARO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
2-3 Tai Pak Terrace,2-3 Tai Pak Terrace,1,12,--,--,--,--,--,https://hk.centanet.com/estate/en/2-3-Tai-Pak-Terrace/2-OOCSURCERO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
1G Sands Street,1G Sands Street,1,7,--,--,--,--,--,https://hk.centanet.com/estate/en/1G-Sands-Street/2-OOCUURFVRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Yue Yee Mansion,18A-20A Belcher's Street,1,56,--,--,--,--,--,https://hk.centanet.com/estate/en/Yue-Yee-Mansion/2-OODCQRDHRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
121-123 Belcher's Street,121-123 Belcher's Street,1,8,--,--,--,--,--,https://hk.centanet.com/estate/en/121-123-Belcher-s-Street/2-OODQUROXRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Tai Pak Mansion,1 Tai Pak Terrace,1,7,--,--,--,--,--,https://hk.centanet.com/estate/en/Tai-Pak-Mansion/2-OOFQURCORO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
135-137 Belcher's Street,135-137 Belcher's Street,1,10,--,--,--,--,--,https://hk.centanet.com/estate/en/135-137-Belcher-s-Street/2-OOFRQROERO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
6-7 Tai Pak Terrace,6-7 Tai Pak Terrace,1,14,--,--,--,--,--,https://hk.centanet.com/estate/en/6-7-Tai-Pak-Terrace/2-OOJFURCSRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
131-133 Belcher's Street,131-133 Belcher's Street,1,10,--,--,--,--,--,https://hk.centanet.com/estate/en/131-133-Belcher-s-Street/2-OOJFUROYRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Smithfield Garden,50 Smithfield,3,35,--,--,--,--,--,https://hk.centanet.com/estate/en/Smithfield-Garden/2-OOJUURCARO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Kelley Court,9-15 Catchick Street,1,47,--,--,--,--,--,https://hk.centanet.com/estate/en/Kelley-Court/2-OOOOFRUORO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
8 Tai Pak Terrace,8 Tai Pak Terrace,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/8-Tai-Pak-Terrace/2-OOOOQRCJRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
9 Tai Pak Terrace,9 Tai Pak Terrace,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/9-Tai-Pak-Terrace/2-OOOUQRCYRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
33 North Street,33 North Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/33-North-Street/2-OOQQQRJRRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
35 North Street,35 North Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/35-North-Street/2-OOQSQRJORO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Cheong Fai Building,17-21 Catchick Street,1,27,--,--,--,--,--,https://hk.centanet.com/estate/en/Cheong-Fai-Building/2-OOQVFRUERO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
